hash_functions,iteration,user1,user2,estimated_similarity,evaluation
50,1,408,898,0.82,True Positive
50,1,366,814,0.64,False Positive
50,1,366,604,0.52,False Positive
50,1,109,774,0.62,False Positive
50,1,109,933,0.5,False Positive
50,1,328,788,0.62,True Positive
50,1,451,489,0.62,True Positive
50,1,489,587,0.6,True Positive
50,1,551,682,0.6,False Positive
50,1,554,764,0.6,True Positive
50,1,168,938,0.58,False Positive
50,1,168,432,0.52,False Positive
50,1,168,630,0.52,False Positive
50,1,600,826,0.58,True Positive
50,1,141,168,0.56,False Positive
50,1,141,938,0.54,False Positive
50,1,197,600,0.56,True Positive
50,1,197,826,0.48,False Negative
50,1,284,611,0.56,False Positive
50,1,284,915,0.52,False Positive
50,1,353,827,0.56,False Positive
50,1,353,616,0.54,False Positive
50,1,353,418,0.5,False Positive
50,1,356,841,0.56,False Positive
50,1,356,827,0.5,False Positive
50,1,356,856,0.5,False Positive
50,1,378,457,0.56,False Positive
50,1,384,820,0.56,False Positive
50,1,604,814,0.56,False Positive
50,1,755,853,0.56,False Positive
50,1,800,879,0.56,True Positive
50,1,26,141,0.54,False Positive
50,1,26,938,0.52,False Positive
50,1,111,547,0.54,False Positive
50,1,112,827,0.54,False Positive
50,1,112,616,0.52,False Positive
50,1,276,416,0.54,False Positive
50,1,276,457,0.52,False Positive
50,1,276,393,0.5,False Positive
50,1,301,682,0.54,False Positive
50,1,311,313,0.54,False Positive
50,1,311,846,0.52,False Positive
50,1,423,834,0.54,False Positive
50,1,92,249,0.52,False Positive
50,1,92,457,0.52,False Positive
50,1,92,268,0.5,False Positive
50,1,92,303,0.5,False Positive
50,1,92,682,0.5,False Positive
50,1,170,510,0.52,False Positive
50,1,191,353,0.52,False Positive
50,1,229,410,0.52,False Positive
50,1,234,450,0.52,False Positive
50,1,234,406,0.5,False Positive
50,1,234,796,0.5,False Positive
50,1,367,814,0.52,False Positive
50,1,399,682,0.52,False Positive
50,1,457,864,0.52,False Positive
50,1,486,634,0.52,False Positive
50,1,486,936,0.5,False Positive
50,1,574,827,0.52,False Positive
50,1,616,827,0.52,False Positive
50,1,724,787,0.52,False Positive
50,1,775,827,0.52,False Positive
50,1,809,920,0.52,False Positive
50,1,7,234,0.5,False Positive
50,1,40,574,0.5,False Positive
50,1,59,234,0.5,False Positive
50,1,94,276,0.5,False Positive
50,1,105,842,0.5,False Positive
50,1,140,302,0.5,False Positive
50,1,164,190,0.5,False Positive
50,1,263,488,0.5,False Positive
50,1,291,943,0.5,False Positive
50,1,293,347,0.5,False Positive
50,1,324,526,0.5,False Positive
50,1,404,810,0.5,False Positive
50,1,404,827,0.5,False Positive
50,1,405,846,0.5,False Positive
50,1,416,846,0.5,False Positive
50,1,435,551,0.5,False Positive
50,1,435,880,0.5,False Positive
50,1,467,540,0.5,False Positive
50,1,487,715,0.5,False Positive
50,1,529,853,0.5,False Positive
50,1,648,804,0.5,False Positive
50,1,749,864,0.5,False Positive
50,1,772,816,0.5,False Positive
50,1,827,856,0.5,False Positive
50,1,674,879,0.48,False Negative
50,2,408,898,0.88,True Positive
50,2,328,788,0.76,True Positive
50,2,112,404,0.66,False Positive
50,2,112,616,0.62,False Positive
50,2,112,827,0.52,False Positive
50,2,489,587,0.6,True Positive
50,2,489,724,0.52,False Positive
50,2,40,915,0.58,False Positive
50,2,40,784,0.54,False Positive
50,2,40,574,0.52,False Positive
